angular_position,angular_speed,angular_acceleration,u
-0.00117609,-0.119548,0,2.11502
-0.00177383,-0.117594,0,2.05281
-0.0023618,-0.11553,0,1.99244
-0.00293945,-0.11336,0,1.93383
-0.00350624,-0.111087,0,1.87696
-0.00406168,-0.108716,0,1.82175
-0.00460526,-0.106251,0,1.76817
-0.00513651,-0.103696,0,1.71617
-0.00565499,-0.101054,0,1.66569
-0.00616026,-0.0983306,0,1.6167
-0.00665192,-0.0955292,0,1.56915
-0.00712956,-0.0926543,0,1.523
-0.00759283,-0.08971,0,1.4782
-0.00804138,-0.0867008,0,1.43473
-0.00847489,-0.0836307,0,1.39253
-0.00889304,-0.0805043,0,1.35157
-0.00929556,-0.0773258,0,1.31182
-0.00968219,-0.0740994,0,1.27324
-0.0100527,-0.0708297,0,1.23579
-0.0104068,-0.0675208,0,1.19944
-0.0107444,-0.0641772,0,1.16417
-0.0110653,-0.060803,0,1.12993
-0.0113693,-0.0574025,0,1.09669
-0.0116564,-0.0539801,0,1.06444
-0.0119263,-0.0505399,0,1.03313
-0.012179,-0.0470862,0,1.00274
-0.0124144,-0.0436229,0,0.973251
-0.0126325,-0.0401544,0,0.944626
-0.0128333,-0.0366845,0,0.916843
-0.0130167,-0.0332174,0,0.889877
-0.0131828,-0.029757,0,0.863704
-0.0133316,-0.0263071,0,0.838301
-0.0134631,-0.0228716,0,0.813645
-0.0135775,-0.0194543,0,0.789714
-0.0136747,-0.0160588,0,0.766487
-0.013755,-0.0126887,0,0.743944
-0.0138185,-0.00934773,0,0.722063
-0.0138652,-0.00603919,0,0.700826
-0.0138954,-0.00276652,0,0.680213
-0.0139092,0.000467007,0,0.660207
-0.0139069,0.00365817,0,0.640789
-0.0138886,0.00680384,0,0.621942
-0.0138546,0.009901,0,0.60365
-0.0138051,0.0129467,0,0.585896
-0.0137404,0.0159382,0,0.568663
-0.0136607,0.0188726,0,0.551938
-0.0135663,0.0217474,0,0.535705
-0.0134576,0.02456,0,0.519949
-0.0133348,0.0273079,0,0.504656
-0.0131982,0.029989,0,0.489813
-0.0130483,0.0326009,0,0.475407
-0.0128853,0.0351416,0,0.461424
-0.0127096,0.0376089,0,0.447853
-0.0125215,0.0400012,0,0.434681
-0.0123215,0.0423165,0,0.421896
-0.0121099,0.0445533,0,0.409487
-0.0118872,0.0467099,0,0.397444
-0.0116536,0.0487849,0,0.385754
-0.0114097,0.050777,0,0.374408
-0.0111558,0.052685,0,0.363396
-0.0108924,0.0545077,0,0.352708
-0.0106198,0.0562442,0,0.342335
-0.0103386,0.0578936,0,0.332266
-0.0100492,0.0594551,0,0.322493
-0.00975188,0.0609281,0,0.313008
-0.00944724,0.062312,0,0.303802
-0.00913568,0.0636064,0,0.294867
-0.00881765,0.0648109,0,0.286194
-0.00849359,0.0659253,0,0.277777
-0.00816397,0.0669495,0,0.269607
-0.00782922,0.0678836,0,0.261677
-0.0074898,0.0687275,0,0.253981
-0.00714616,0.0694815,0,0.246511
-0.00679875,0.0701459,0,0.23926
-0.00644803,0.070721,0,0.232223
-0.00609442,0.0712074,0,0.225393
-0.00573838,0.0716057,0,0.218764
-0.00538036,0.0719164,0,0.21233
-0.00502077,0.0721405,0,0.206085
-0.00466007,0.0722788,0,0.200024
-0.00429868,0.0723322,0,0.19414
-0.00393702,0.0723018,0,0.18843
-0.00357551,0.0721886,0,0.182888
-0.00321456,0.0719939,0,0.177509
-0.00285459,0.0717189,0,0.172288
-0.002496,0.0713651,0,0.167221
-0.00213917,0.0709338,0,0.162303
-0.0017845,0.0704265,0,0.157529
-0.00143237,0.0698449,0,0.152896
-0.00108315,0.0691905,0,0.148399
-0.000737195,0.0684649,0,0.144034
-0.000394871,0.0676701,0,0.139798
-5.65201e-05,0.0668078,0,0.135686
0.000277519,0.0658798,0,0.131696
0.000606918,0.064888,0,0.127822
0.000931358,0.0638345,0,0.124063
0.00125053,0.0627213,0,0.120414
0.00156414,0.0615503,0,0.116872
0.00187189,0.0603238,0,0.113435
0.00217351,0.0590437,0,0.110099
0.00246873,0.0577124,0,0.10686
0.00275729,0.0563319,0,0.103717
0.00303895,0.0549045,0,0.100667
0.00331347,0.0534324,0,0.0977061
0.00358063,0.051918,0,0.0948324
0.00384022,0.0503635,0,0.0920432
0.00409204,0.0487711,0,0.089336
0.00433589,0.0471434,0,0.0867085
0.00457161,0.0454824,0,0.0841583
0.00479902,0.0437907,0,0.081683
0.00501798,0.0420705,0,0.0792806
0.00522833,0.0403242,0,0.0769488
0.00542995,0.0385542,0,0.0746856
0.00562272,0.0367627,0,0.072489
0.00580653,0.0349521,0,0.0703569
0.0059813,0.0331248,0,0.0682876
0.00614692,0.031283,0,0.0662792
0.00630333,0.0294291,0,0.0643298
0.00645048,0.0275654,0,0.0624377
0.00658831,0.025694,0,0.0606013
0.00671678,0.0238174,0,0.0588189
0.00683586,0.0219376,0,0.0570889
0.00694555,0.0200569,0,0.0554099
0.00704584,0.0181775,0,0.0537802
0.00713672,0.0163015,0,0.0521984
0.00721823,0.0144311,0,0.0506631
0.00729039,0.0125682,0,0.0491731
0.00735323,0.010715,0,0.0477268
0.0074068,0.00887349,0,0.0463231
0.00745117,0.00704557,0,0.0449606
0.0074864,0.00523319,0,0.0436382
0.00751256,0.00343824,0,0.0423548
0.00752976,0.00166256,0,0.041109
0.00753807,-9.20653e-05,0,0.0398999
0.00753761,-0.00182389,0,0.0387264
0.00752849,-0.00353121,0,0.0375874
0.00751083,-0.00521239,0,0.0364819
0.00748477,-0.00686583,0,0.0354089
0.00745044,-0.00848999,0,0.0343675
0.00740799,-0.0100834,0,0.0333567
0.00735757,-0.0116446,0,0.0323756
0.00729935,-0.0131722,0,0.0314234
0.00723349,-0.0146649,0,0.0304991
0.00716017,-0.0161214,0,0.0296021
0.00707956,-0.0175406,0,0.0287315
0.00699186,-0.0189212,0,0.0278864
0.00689725,-0.0202623,0,0.0270662
0.00679594,-0.0215627,0,0.0262702
0.00668813,-0.0228214,0,0.0254975
0.00657402,-0.0240377,0,0.0247476
0.00645383,-0.0252106,0,0.0240197
0.00632778,-0.0263394,0,0.0233132
0.00619608,-0.0274233,0,0.0226276
0.00605896,-0.0284616,0,0.021962
0.00591666,-0.0294538,0,0.0213161
0.00576939,-0.0303993,0,0.0206892
0.00561739,-0.0312976,0,0.0200807
0.0054609,-0.0321483,0,0.01949
0.00530016,-0.032951,0,0.0189168
0.00513541,-0.0337055,0,0.0183604
0.00496688,-0.0344115,0,0.0178204
0.00479482,-0.0350688,0,0.0172963
0.00461948,-0.0356773,0,0.0167876
0.00444109,-0.0362369,0,0.0162938
0.00425991,-0.0367476,0,0.0158146
0.00407617,-0.0372094,0,0.0153495
0.00389012,-0.0376225,0,0.014898
0.00370201,-0.037987,0,0.0144598
0.00351207,-0.0383031,0,0.0140345
0.00332056,-0.0385711,0,0.0136218
0.0031277,-0.0387913,0,0.0132211
0.00293375,-0.0389641,0,0.0128323
0.00273893,-0.0390898,0,0.0124548
0.00254348,-0.0391689,0,0.0120885
0.00234763,-0.039202,0,0.011733
0.00215162,-0.0391896,0,0.0113879
0.00195567,-0.0391324,0,0.011053
0.00176001,-0.0390308,0,0.0107279
0.00156486,-0.0388857,0,0.0104123
0.00137043,-0.0386978,0,0.0101061
0.00117694,-0.0384679,0,0.00980886
0.000984601,-0.0381966,0,0.00952036
0.000793618,-0.037885,0,0.00924035
0.000604193,-0.0375339,0,0.00896858
0.000416523,-0.0371441,0,0.00870479
0.000230803,-0.0367167,0,0.00844877
4.7219e-05,-0.0362526,0,0.00820028
-0.000134044,-0.0357529,0,0.00795909
-0.000312809,-0.0352185,0,0.007725
-0.000488901,-0.0346505,0,0.0074978
-0.000662153,-0.03405,0,0.00727727
-0.000832404,-0.0334182,0,0.00706323
-0.000999495,-0.0327561,0,0.00685549
-0.00116328,-0.0320649,0,0.00665386
-0.0013236,-0.0313458,0,0.00645816
-0.00148033,-0.0306,0,0.00626821
-0.00163333,-0.0298286,0,0.00608385
-0.00178247,-0.029033,0,0.00590492
-0.00192764,-0.0282142,0,0.00573124
-0.00206871,-0.0273736,0,0.00556268
-0.00220558,-0.0265124,0,0.00539907
-0.00233814,-0.0256319,0,0.00524027
-0.0024663,-0.0247333,0,0.00508615
-0.00258996,-0.0238178,0,0.00493655
-0.00270905,-0.0228869,0,0.00479136
-0.00282349,-0.0219416,0,0.00465044
-0.0029332,-0.0209834,0,0.00451366
-0.00303811,-0.0200135,0,0.00438091
-0.00313818,-0.019033,0,0.00425206
-0.00323335,-0.0180434,0,0.004127
-0.00332356,-0.0170459,0,0.00400561
-0.00340879,-0.0160416,0,0.0038878
-0.003489,-0.0150319,0,0.00377345
-0.00356416,-0.014018,0,0.00366247
-0.00363425,-0.0130011,0,0.00355475
-0.00369926,-0.0119824,0,0.0034502
-0.00375917,-0.0109631,0,0.00334872
-0.00381398,-0.00994436,0,0.00325023
-0.0038637,-0.00892738,0,0.00315464
-0.00390834,-0.00791329,0,0.00306185
-0.00394791,-0.00690323,0,0.0029718
-0.00398242,-0.00589829,0,0.00288439
-0.00401192,-0.00489957,0,0.00279956
-0.00403641,-0.00390814,0,0.00271722
-0.00405595,-0.00292504,0,0.0026373
-0.00407058,-0.0019513,0,0.00255973
-0.00408034,-0.000987909,0,0.00248445
-0.00408528,-3.58437e-05,0,0.00241137
-0.00408545,0.000903947,0,0.00234045
-0.00408093,0.00183054,0,0.00227161
-0.00407178,0.00274305,0,0.0022048
-0.00405807,0.0036406,0,0.00213995
-0.00403986,0.00452235,0,0.00207701
-0.00401725,0.0053875,0,0.00201593
-0.00399031,0.00623526,0,0.00195663
-0.00395914,0.00706489,0,0.00189909
-0.00392381,0.00787567,0,0.00184323
-0.00388444,0.0086669,0,0.00178902
-0.0038411,0.00943794,0,0.0017364
-0.00379391,0.0101881,0,0.00168533
-0.00374297,0.0109169,0,0.00163576
-0.00368839,0.0116238,0,0.00158765
-0.00363027,0.0123081,0,0.00154095
-0.00356873,0.0129694,0,0.00149563
-0.00350388,0.0136072,0,0.00145164
-0.00343584,0.0142212,0,0.00140895
-0.00336474,0.0148109,0,0.00136751
-0.00329068,0.0153759,0,0.00132729
-0.0032138,0.0159159,0,0.00128825
-0.00313422,0.0164306,0,0.00125036
-0.00305207,0.0169198,0,0.00121358
-0.00296747,0.0173833,0,0.00117789
-0.00288056,0.0178207,0,0.00114325
-0.00279145,0.018232,0,0.00110962
-0.00270029,0.018617,0,0.00107699
-0.00260721,0.0189756,0,0.00104531
-0.00251233,0.0193078,0,0.00101457
-0.00241579,0.0196135,0,0.000984725
-0.00231772,0.0198927,0,0.000955763
-0.00221826,0.0201454,0,0.000927652
-0.00211753,0.0203717,0,0.000900368
-0.00201567,0.0205716,0,0.000873887
-0.00191282,0.0207453,0,0.000848184
-0.00180909,0.0208929,0,0.000823238
-0.00170462,0.0210146,0,0.000799025
-0.00159955,0.0211105,0,0.000775524
-0.001494,0.0211809,0,0.000752715
-0.00138809,0.0212261,0,0.000730576
-0.00128196,0.0212463,0,0.000709088
-0.00117573,0.0212418,0,0.000688233
-0.00106952,0.0212129,0,0.000667991
-0.000963459,0.02116,0,0.000648344
-0.000857659,0.0210835,0,0.000629275
-0.000752241,0.0209838,0,0.000610767
-0.000647323,0.0208612,0,0.000592803
-0.000543017,0.0207162,0,0.000575368
-0.000439436,0.0205492,0,0.000558445
-0.00033669,0.0203608,0,0.00054202
-0.000234886,0.0201514,0,0.000526079
-0.000134129,0.0199216,0,0.000510606
-3.45206e-05,0.0196719,0,0.000495588
6.38387e-05,0.0194027,0,0.000481012
0.000160852,0.0191148,0,0.000466864
0.000256426,0.0188085,0,0.000453133
0.000350469,0.0184847,0,0.000439806
0.000442892,0.0181437,0,0.00042687
0.000533611,0.0177863,0,0.000414315
0.000622542,0.0174131,0,0.000402129
0.000709608,0.0170247,0,0.000390302
0.000794732,0.0166218,0,0.000378823
0.000877841,0.0162049,0,0.000367681
0.000958865,0.0157749,0,0.000356867
0.00103774,0.0153322,0,0.000346371
0.0011144,0.0148776,0,0.000336183
0.00118879,0.0144119,0,0.000326295
0.00126085,0.0139355,0,0.000316699
0.00133053,0.0134494,0,0.000307384
0.00139777,0.012954,0,0.000298343
0.00146254,0.0124502,0,0.000289568
0.00152479,0.0119386,0,0.000281052
0.00158449,0.0114198,0,0.000272785
0.00164159,0.0108947,0,0.000264762
0.00169606,0.0103638,0,0.000256975
0.00174788,0.00982783,0,0.000249417
0.00179702,0.00928753,0,0.000242081
0.00184345,0.00874355,0,0.000234961
0.00188717,0.00819654,0,0.000228051
0.00192815,0.00764719,0,0.000221343
0.00196639,0.00709616,0,0.000214833
0.00200187,0.00654409,0,0.000208515
0.00203459,0.00599165,0,0.000202382
0.00206455,0.00543946,0,0.000196429
0.00209175,0.00488816,0,0.000190652
