20,800
theta,thetaDot,P1,P2,u1,u2
0.3205,0.451811,87072.1,0.873927,91931.9,309861
0.321981,0.453556,87392.4,0.877132,92250.5,309541
0.323465,0.4553,87712.5,0.880336,92568.9,309222
0.324951,0.457044,88032.5,0.883538,92887.2,308903
0.326439,0.458789,88352.4,0.88674,93205.3,308584
0.327927,0.460533,88672.2,0.88994,93523.4,308265
0.329413,0.462278,88991.8,0.893139,93841.3,307946
0.330898,0.464022,89311.4,0.896337,94159.1,307628
0.332378,0.465767,89630.8,0.899533,94476.8,307309
0.333854,0.467511,89950.1,0.902729,94794.4,306991
0.335324,0.469256,90269.4,0.905923,95111.8,306673
0.336787,0.471,90588.4,0.909117,95429.1,306355
0.338242,0.472744,90907.4,0.912309,95746.3,306037
0.339687,0.474489,91226.3,0.9155,96063.4,305719
0.341123,0.476233,91545,0.918689,96380.4,305401
0.342547,0.477978,91863.6,0.921878,96697.2,305083
0.343959,0.479722,92182.1,0.925065,97013.9,304766
0.345359,0.481467,92500.5,0.928251,97330.5,304449
0.346744,0.483211,92818.8,0.931436,97646.9,304131
0.348115,0.484956,93136.9,0.93462,97963.2,303814
0.349471,0.4867,93454.9,0.937802,98279.4,303497
0.350812,0.488444,93772.8,0.940984,98595.5,303180
0.352136,0.490189,94090.6,0.944164,98911.5,302863
0.353443,0.491933,94408.3,0.947343,99227.3,302547
0.354732,0.493678,94725.8,0.95052,99543,302230
0.356004,0.495422,95043.2,0.953697,99858.5,301914
0.357258,0.497167,95360.5,0.956872,100174,301598
0.358494,0.498911,95677.7,0.960046,100489,301281
0.359711,0.500656,95994.7,0.963219,100804,300965
0.360909,0.5024,96311.7,0.96639,101119,300650
0.362089,0.504144,96628.5,0.96956,101434,300334
0.36325,0.505889,96945.1,0.972729,101749,300018
0.364392,0.507633,97261.7,0.975897,102064,299703
0.365516,0.509378,97578.1,0.979064,102378,299387
0.366622,0.511122,97894.4,0.982229,102693,299072
0.367709,0.512867,98210.6,0.985393,103007,298757
0.368779,0.514611,98526.6,0.988556,103321,298442
0.369831,0.516356,98842.5,0.991717,103635,298127
0.370867,0.5181,99158.3,0.994877,103949,297812
0.371885,0.519844,99474,0.998036,104263,297498
0.372888,0.521589,99789.5,1.00119,104576,297183
0.373876,0.523333,100105,1.00435,104890,296869
0.374848,0.525078,100420,1.0075,105203,296555
0.375807,0.526822,100735,1.01066,105516,296241
0.376752,0.528567,101050,1.01381,105829,295927
0.377684,0.530311,101365,1.01696,106142,295613
0.378605,0.532056,101680,1.02011,106455,295299
0.379514,0.5338,101995,1.02326,106768,294986
0.380414,0.535544,102309,1.02641,107080,294672
0.381303,0.537289,102624,1.02955,107393,294359
0.382184,0.539033,102938,1.0327,107705,294046
0.383058,0.540778,103252,1.03584,108017,293733
0.383925,0.542522,103566,1.03898,108329,293420
0.384786,0.544267,103880,1.04212,108641,293107
0.385642,0.546011,104193,1.04526,108952,292795
0.386494,0.547756,104507,1.0484,109264,292482
0.387344,0.5495,104820,1.05154,109575,292170
0.388191,0.551244,105134,1.05467,109887,291858
0.389037,0.552989,105447,1.05781,110198,291546
0.389883,0.554733,105760,1.06094,110509,291234
0.39073,0.556478,106073,1.06407,110820,290922
0.391578,0.558222,106386,1.0672,111130,290610
0.392429,0.559967,106698,1.07033,111441,290299
0.393283,0.561711,107011,1.07345,111751,289988
0.394142,0.563456,107323,1.07658,112061,289676
0.395005,0.5652,107635,1.0797,112372,289365
0.395875,0.566944,107947,1.08283,112682,289054
0.396751,0.568689,108259,1.08595,112991,288744
0.397634,0.570433,108571,1.08907,113301,288433
0.398525,0.572178,108883,1.09219,113611,288122
0.399425,0.573922,109194,1.0953,113920,287812
0.400334,0.575667,109506,1.09842,114229,287502
0.401253,0.577411,109817,1.10154,114538,287192
0.402182,0.579156,110128,1.10465,114847,286882
0.403122,0.5809,110439,1.10776,115156,286572
0.404074,0.582644,110750,1.11087,115465,286262
0.405037,0.584389,111060,1.11398,115773,285953
0.406012,0.586133,111371,1.11709,116082,285644
0.406999,0.587878,111681,1.12019,116390,285334
0.407999,0.589622,111991,1.1233,116698,285025
0.409011,0.591367,112302,1.1264,117006,284717
0.410037,0.593111,112612,1.1295,117314,284408
0.411075,0.594856,112921,1.1326,117621,284099
0.412126,0.5966,113231,1.1357,117929,283791
0.413191,0.598344,113541,1.1388,118236,283482
0.414268,0.600089,113850,1.14189,118543,283174
0.415359,0.601833,114159,1.14499,118850,282866
0.416462,0.603578,114468,1.14808,119157,282558
0.417577,0.605322,114777,1.15117,119464,282251
0.418705,0.607067,115086,1.15426,119770,281943
0.419845,0.608811,115395,1.15735,120077,281636
0.420997,0.610556,115703,1.16044,120383,281328
0.42216,0.6123,116011,1.16352,120689,281021
0.423334,0.614044,116320,1.16661,120995,280714
0.424519,0.615789,116628,1.16969,121301,280407
0.425714,0.617533,116936,1.17277,121607,280101
0.426919,0.619278,117243,1.17585,121912,279794
0.428133,0.621022,117551,1.17893,122217,279488
0.429355,0.622767,117858,1.182,122523,279182
0.430585,0.624511,118166,1.18508,122828,278876
0.431823,0.626256,118473,1.18815,123132,278570
0.433068,0.628,118780,1.19122,123437,278264
0.434318,0.629744,119087,1.1943,123742,277958
